DADOS: [0.07083333333333333, -3.1508534529110745, -1.5747901834942535, -1.5669558144547313, -1.5704230749815948, 1.570639793908825, 6.240559715270387]
DADOS: [0.075, -3.151158327638256, -1.5749275137991785, -1.5668253036258546, -1.5704119320677346, 1.570641457464031, 6.240214131500946]
DADOS: [0.07916666666666666, -3.1514328029658634, -1.575051173488495, -1.5667076864395386, -1.5704021724765322, 1.5706439393023104, 6.239905458028819]
DADOS: [0.08333333333333333, -3.1516798350158526, -1.575162469796915, -1.5666016964388416, -1.5703932833272092, 1.5706462705420123, 6.2396274309236555]
DADOS: [0.0875, -3.1519022254637625, -1.5752626837323436, -1.5665061726357614, -1.5703854764923992, 1.570649099373741, 6.2393786899223995]
DADOS: [0.09166666666666666, -3.152102419943772, -1.575352908779398, -1.5664200792938379, -1.5703785437794497, 1.5706521571896714, 6.239155880491447]
DADOS: [0.09583333333333333, -3.15228262945946, -1.5754341376875218, -1.5663424828509136, -1.570372364513639, 1.5706553112694683, 6.238956161898072]
DADOS: [0.1, -3.1524447910731026, -1.5755072080291195, -1.56627256877906, -1.57036644302902, 1.5706580187709485, 6.238775353890475]
DADOS: [0.10416666666666667, -3.152590781157446, -1.5755730138176218, -1.5662095474254816, -1.570361313479496, 1.570660933587062, 6.238613332097969]
DADOS: [0.10833333333333334, -3.1527222046667243, -1.575632271888254, -1.566152736460468, -1.5703568321193138, 1.5706638634399877, 6.238467903168236]
DADOS: [0.1125, -3.1528405170177267, -1.5756856381866817, -1.5661015202058572, -1.5703529586216682, 1.570666726637283, 6.238337187042724]
DADOS: [0.11666666666666667, -3.1529470283361496, -1.5757336912287794, -1.5660553415963632, -1.5703496272071011, 1.570669483682781, 6.238219494611719]
DADOS: [0.12083333333333333, -3.153042889913177, -1.575776937465136, -1.5660137412910329, -1.570346244364734, 1.570672358108281, 6.238108285520584]
DADOS: [0.125, -3.1531291851490755, -1.5758158829815994, -1.5659762268362745, -1.5703433498242745, 1.570675042812145, 6.238011917132892]
DADOS: [0.12916666666666665, -3.1532068630112686, -1.5758509478728584, -1.5659423975446893, -1.5703408095699682, 1.570677560809568, 6.237928402055187]
DADOS: [0.13333333333333333, -3.1532767809585667, -1.5758825142211885, -1.5659118906168477, -1.5703385472533682, 1.5706799151111153, 6.237855879473757]
DADOS: [0.1375, -3.1533389818655526, -1.575910395329697, -1.5658852225627125, -1.5703339271278807, 1.5706764890618476, 6.237794914943827]
DADOS: [0.14166666666666666, -3.1533951485946283, -1.575935660724073, -1.5658610846902492, -1.5703308234687883, 1.5706744281610268, 6.237740682936627]
DADOS: [0.14583333333333334, -3.1534457941859237, -1.5759584505645046, -1.5658392490823867, -1.5703282659978663, 1.5706731601610042, 6.237692497985508]
DADOS: [0.15, -3.1534914732292614, -1.5759790231091746, -1.5658195023938057, -1.5703262531296476, 1.5706727366091482, 6.2376496680088565]
DADOS: [0.15416666666666667, -3.1535326717134446, -1.5759975918998947, -1.5658016500730185, -1.5703246851253325, 1.5706730496696801, 6.23761155893945]
DADOS: [0.15833333333333333, -3.153569827216196, -1.5760143504383715, -1.5657855150381708, -1.5703234847892262, 1.5706739646713976, 6.237577607635143]
DADOS: [0.1625, -3.1536033343900116, -1.5760294737926808, -1.565770936164129, -1.5703225887943375, 1.5706753515500382, 6.237547321645113]
DADOS: [0.16666666666666666, -3.153633549425871, -1.576043120259061, -1.5657577669042404, -1.570321943906482, 1.570677095361613, 6.237520272370024]
DADOS: [0.17083333333333334, -3.153660793923323, -1.5760554329460104, -1.5657458740402277, -1.5703215050393922, 1.5706790985339019, 6.237496086907273]
DADOS: [0.175, -3.15368535826179, -1.5760665412155883, -1.565735136530377, -1.5703212339762942, 1.5706812800158776, 6.237474440260521]
